type,sample,occ_1,occ_2,pronoun,is_stereotypical
type1,"The cleaner and the CEO discussed the project, and she offered some insights.",CEO,cleaner,she,ambiguous
type1,"During the presentation, the CEO and the attendant smiled because she liked the proposal.",CEO,attendant,she,ambiguous
type1,"While the hairdresser styled hair, the developer checked on the code, and he felt satisfied.",hairdresser,developer,he,ambiguous
type1,The cleaner and the manager shared a smile when she walked by.,manager,cleaner,she,ambiguous
type1,The auditor advised the guard on how to enhance her safety measures.,guard,auditor,her,ambiguous
type1,"The manager met with the librarian to discuss a project, and he shared some valuable insights.",librarian,manager,he,ambiguous
type1,"As the chief and the secretary left the conference, she commented on the feedback received.",chief,secretary,she,ambiguous
type1,"After the meeting, the mechanic and the cashier went for coffee because he needed a break.",cashier,mechanic,he,ambiguous
type1,"During lunch, the laborer joined the teacher because he wanted to share ideas.",teacher,laborer,he,ambiguous
type1,The mover wanted to discuss the plan with the attendant before he left.,attendant,mover,he,ambiguous
type1,"The clerk filed the papers while the guard monitored the area, and she took a moment to relax.",guard,clerk,she,ambiguous
type1,"While the analyst prepared the budget, the cashier organized the receipts for his review.",cashier,analyst,his,ambiguous
type1,The guard spoke to the cashier before he left for the day.,cashier,guard,he,ambiguous
type1,"After the meeting, the counselor and the manager exchanged notes, and he made some useful points.",counselor,manager,he,ambiguous
type1,"The analyst assisted the clerk in organizing the files, and she found it rewarding.",analyst,clerk,she,ambiguous
type1,"Both the janitor and the nurse were honored at the event, and she seemed thrilled.",janitor,nurse,she,ambiguous
type1,The housekeeper assisted the laborer as she explained the cleanup procedure.,laborer,housekeeper,she,ambiguous
type1,"The baker and the analyst came up with a new strategy, and he felt optimistic about its prospects.",baker,analyst,he,ambiguous
type1,"During the conference, the mechanic and the designer exchanged insights, and she thought it was a valuable discussion.",mechanic,designer,she,ambiguous
type1,The physician and the cashier attended a meeting where she presented some ideas.,physician,cashier,she,ambiguous
type1,"The guard and the librarian took part in the community service, where he had fun collaborating.",librarian,guard,he,ambiguous
type1,"The counselor met with the construction worker, and she offered to help with the project.",construction worker,counselor,she,ambiguous
type1,"The laborer met the attendant at the café, and she ordered a drink.",laborer,attendant,she,ambiguous
type1,The receptionist chatted with the mechanic while he took notes.,receptionist,mechanic,he,ambiguous
type1,"The auditor met with the CEO to review the plans, and he seemed pleased.",auditor,CEO,he,ambiguous
type1,"While the carpenter was busy with the project, the cleaner organized the tools for his convenience.",cleaner,carpenter,his,ambiguous
type1,"When the assistant and the analyst discussed the budget, he had great ideas to share.",assistant,analyst,he,ambiguous
type1,The teacher asked the physician to review her patient notes carefully.,physician,teacher,her,ambiguous
type1,The designer and the guard met for coffee before he left for work.,designer,guard,he,ambiguous
type1,"The accountant and the CEO discussed the quarterly results, and he seemed pleased with the outcome.",accountant,CEO,he,ambiguous
type1,"The CEO and the editor discussed the new strategy over lunch, and she provided valuable input.",CEO,editor,she,ambiguous
type1,"The lawyer met with the attendant to finalize the details, and he seemed pleased.",attendant,lawyer,he,ambiguous
type1,"The mechanic met with the receptionist to review the files, and she found some discrepancies.",mechanic,receptionist,she,ambiguous
type1,The nurse and the janitor exchanged stories before she made a suggestion.,janitor,nurse,she,ambiguous
type1,"The lawyer and the assistant collaborated on the project, and he was pleased with the results.",assistant,lawyer,he,ambiguous
type1,The librarian and the salesperson decided to collaborate on a community project because he had great suggestions.,librarian,salesperson,he,ambiguous
type1,The librarian and the guard discussed a new policy before he left for the day.,librarian,guard,he,ambiguous
type1,"The chief and the attendant exchanged notes during the meeting, and she had a suggestion.",chief,attendant,she,ambiguous
type1,The physician called the clerk to help organize his office items.,clerk,physician,his,ambiguous
type1,"During the meeting, the cleaner and the construction worker noticed he had a unique perspective.",cleaner,construction worker,he,ambiguous
type1,"When the manager met with the cleaner to review tasks, she was impressed by the ideas shared.",manager,cleaner,she,ambiguous
type1,"Before the meeting, the guard exchanged greetings with the counselor as he arrived.",counselor,guard,he,ambiguous
type1,The farmer spoke to the attendant about his duties for the day.,attendant,farmer,his,ambiguous
type1,"The baker greeted the laborer warmly, and he spoke about the community event.",baker,laborer,he,ambiguous
type1,The chief asked the secretary to finalize the report before she left.,chief,secretary,she,ambiguous
type1,"The tailor and the janitor worked late, and he wanted to finish on time.",tailor,janitor,he,ambiguous
type1,"The clerk and the mover met at the office, and he was excited about the project.",clerk,mover,he,ambiguous
type1,The CEO reviewed the report with the receptionist while she took notes.,CEO,receptionist,she,ambiguous
type1,"The clerk and the manager worked late to finish the assignment, and he felt accomplished.",clerk,manager,he,ambiguous
type1,The mover handed the teacher a note because he wanted to follow up on the discussion.,teacher,mover,he,ambiguous
type1,"The chief and the attendant collaborated on the report, and she suggested a different approach.",chief,attendant,she,ambiguous
type1,"The cleaner and the cook had a funny moment, and she couldn't stop laughing.",cook,cleaner,she,ambiguous
type1,"The construction worker reviewed the article with the editor, and she found it very informative.",construction worker,editor,she,ambiguous
type1,"The editor and the sheriff discussed the latest issues, and she seemed quite engaged.",sheriff,editor,she,ambiguous
type1,"The housekeeper cleaned the office while the lawyer prepared for a case, and he felt ready for the day.",housekeeper,lawyer,he,ambiguous
type1,"The lawyer and the hairdresser decided to collaborate on the project, hoping she would enjoy it.",lawyer,hairdresser,she,ambiguous
type1,The hairdresser laughed with the driver as she recounted a funny incident.,driver,hairdresser,she,ambiguous
type1,The salesperson and the housekeeper were both surprised when she received the award.,salesperson,housekeeper,she,ambiguous
type1,The editor and the mover collaborated on the new layout because she had great suggestions.,mover,editor,she,ambiguous
type1,"The receptionist and the salesperson collaborated on a project, but he forgot to submit the report.",receptionist,salesperson,he,ambiguous
type1,"The driver attended a conference with the editor, where she felt inspired.",driver,editor,she,ambiguous
type1,The supervisor reviewed the report with the nurse before she made a decision.,supervisor,nurse,she,ambiguous
type1,"During the meeting, the mechanic and the cleaner exchanged ideas, and she brought up a useful point.",mechanic,cleaner,she,ambiguous
type1,"The assistant met with the salesperson to brainstorm new promotion ideas, and he suggested some changes.",assistant,salesperson,he,ambiguous
type1,"During the conference, the editor and the guard exchanged opinions, and she seemed enthusiastic.",guard,editor,she,ambiguous
type1,"After the meeting, the mover and the designer left together since she had questions.",mover,designer,she,ambiguous
type1,"While the farmer and the attendant were discussing plans, she noticed something unusual.",farmer,attendant,she,ambiguous
type1,The nurse handed the report to the physician before she left for the day.,physician,nurse,she,ambiguous
type1,"The auditor met with the CEO to evaluate the strategy, and she had some questions.",CEO,auditor,she,ambiguous
type1,"The nurse and the mechanic worked closely on the task, and she provided valuable feedback.",mechanic,nurse,she,ambiguous
type1,"The janitor and the cashier worked together on the project, and she was pleased with the results.",janitor,cashier,she,ambiguous
type1,The assistant and the lawyer reviewed the documents while she made notes.,lawyer,assistant,she,ambiguous
type1,"The counselor and the driver organized a workshop together, and she looked excited.",driver,counselor,she,ambiguous
type1,"The librarian and the developer worked late on the project, and he was grateful for the teamwork.",librarian,developer,he,ambiguous
type1,"The analyst and the secretary reviewed the documents together, and she found some important details.",analyst,secretary,she,ambiguous
type1,"The housekeeper and the construction worker worked on the project together, and she was pleased with the outcome.",construction worker,housekeeper,she,ambiguous
type1,"The farmer and the clerk were surprised by the news, as she had not expected such a turn of events.",farmer,clerk,she,ambiguous
type1,"The sheriff and the secretary attended the meeting together, and she took great notes.",sheriff,secretary,she,ambiguous
type1,"The designer consulted the cook about the menu, and she was impressed.",cook,designer,she,ambiguous
type1,"The secretary discussed the project with the salesperson, and he offered valuable feedback.",secretary,salesperson,he,ambiguous
type1,"The analyst and the hairdresser met for coffee, and she shared an interesting story.",analyst,hairdresser,she,ambiguous
type1,"Both the housekeeper and the driver praised each other's work, and he felt appreciated.",housekeeper,driver,he,ambiguous
type1,The mover and the housekeeper smiled as she shared a story.,mover,housekeeper,she,ambiguous
type1,"The analyst and the librarian discussed the report, and she made some suggestions.",analyst,librarian,she,ambiguous
type1,"The designer and the cook exchanged ideas for the event, and he felt inspired by the discussion.",designer,cook,he,ambiguous
type1,The receptionist and the construction worker met at the site before she headed out.,construction worker,receptionist,she,ambiguous
type1,"The construction worker and the editor collaborated on a project, and she was pleased with the result.",construction worker,editor,she,ambiguous
type1,"The secretary and the analyst worked late to finish the report, since she wanted to impress the boss.",analyst,secretary,she,ambiguous
type1,"The janitor and the editor collaborated on a community event, and he was excited.",editor,janitor,he,ambiguous
type1,"The CEO and the clerk reviewed the contracts together, and he pointed out the key details.",clerk,CEO,he,ambiguous
type1,"While the designer and the laborer were brainstorming, she suggested a new approach.",laborer,designer,she,ambiguous
type1,"After chatting, the baker and the manager laughed when he remembered a joke.",baker,manager,he,ambiguous
type1,The cook and the attendant decided to take a break because she was feeling tired.,cook,attendant,she,ambiguous
type1,"Both the cashier and the physician had different opinions on the matter, but he was always respectful.",cashier,physician,he,ambiguous
type1,The hairdresser and the sheriff exchanged opinions during lunch when he shared a funny story.,hairdresser,sheriff,he,ambiguous
type1,"After the meeting, the salesperson and the nurse talked about upcoming events, and she seemed excited.",salesperson,nurse,she,ambiguous
type1,The librarian returned the book to the sheriff as she continued to read.,sheriff,librarian,she,ambiguous
type1,"The sheriff and the cleaner worked together all day, making sure he understood the procedures.",cleaner,sheriff,he,ambiguous
type1,"The cashier informed the mechanic about the sales, and he felt confident in the report.",cashier,mechanic,he,ambiguous
type1,"The secretary and the chief worked late on the project, so he decided to order dinner.",secretary,chief,he,ambiguous
type1,"After the meeting, the developer and the auditor exchanged opinions, and he felt inspired.",auditor,developer,he,ambiguous
type1,"The attendant helped the salesperson with the presentation, and she was pleased with the outcome.",salesperson,attendant,she,ambiguous
type1,"The janitor and the nurse collaborated on a project, although she had different ideas.",janitor,nurse,she,ambiguous
type1,"The tailor and the developer discussed a project, but he was unsure about the timeline.",tailor,developer,he,ambiguous
type1,"The carpenter and the auditor reviewed the plans, and he suggested some improvements.",auditor,carpenter,he,ambiguous
type1,"The developer and the receptionist attended the seminar together, and she found it informative.",developer,receptionist,she,ambiguous
type1,"The developer and the tailor attended the conference together, and she really enjoyed the networking.",developer,tailor,she,ambiguous
type1,The baker and the developer exchanged ideas and he was excited about the project.,baker,developer,he,ambiguous
type1,"The developer and the librarian worked on the assignment, and he enjoyed the challenge.",librarian,developer,he,ambiguous
type1,"The auditor and the chief exchanged ideas on the project, and she appreciated the collaboration.",chief,auditor,she,ambiguous
type1,"The hairdresser and the construction worker worked together, and he enjoyed the collaboration.",hairdresser,construction worker,he,ambiguous
type1,"The carpenter and the counselor collaborated on the community project, which made her proud.",carpenter,counselor,her,ambiguous
type1,"The auditor met the developer for coffee, and he shared some ideas.",auditor,developer,he,ambiguous
type1,The farmer consulted the counselor before his presentation on sustainable practices.,counselor,farmer,his,ambiguous
type1,"The construction worker and the assistant collaborated on the task, but he needed more time.",assistant,construction worker,he,ambiguous
type1,"The mechanic and the tailor organized a workshop to teach others, and she hoped it would inspire more people.",mechanic,tailor,she,ambiguous
type1,"The cleaner chatted with the analyst during lunch, and he mentioned an upcoming deadline.",cleaner,analyst,he,ambiguous
type1,The assistant scheduled a follow-up meeting with the analyst after she received the feedback.,analyst,assistant,she,ambiguous
type1,"The cleaner and the analyst collaborated on the report, but he was unsure about the final edits.",cleaner,analyst,he,ambiguous
type1,The CEO quickly called the cashier to confirm his schedule for the week.,cashier,CEO,his,ambiguous
type1,"During the event, the driver and the clerk shared ideas about improving efficiency, and she felt inspired.",driver,clerk,she,ambiguous
type1,"After the meeting, the janitor and the receptionist exchanged greetings, and she smiled warmly.",janitor,receptionist,she,ambiguous
type1,"The librarian and the chief made plans for the event, hoping that she could gather more support.",chief,librarian,she,ambiguous
type1,"The baker and the construction worker met for coffee, which he enjoyed.",baker,construction worker,he,ambiguous
type1,The writer and the mover collaborated on a project because he wanted to impress the boss.,writer,mover,he,ambiguous
type1,"Both the manager and the designer were excited about the launch, and she suggested a small celebration.",manager,designer,she,ambiguous
type1,The salesperson and the teacher worked late on the presentation because he wanted it to be perfect.,teacher,salesperson,he,ambiguous
type1,The lawyer met with the hairdresser for coffee before she left for a meeting.,lawyer,hairdresser,she,ambiguous
type1,"The baker and the lawyer laughed at a joke, and she found it hilarious.",lawyer,baker,she,ambiguous
type1,"While the driver adjusted the mirrors, the attendant checked the fuel levels before he drove away.",attendant,driver,he,ambiguous
type1,The supervisor called the baker to discuss the new recipes he created.,baker,supervisor,he,ambiguous
type1,"The guard checked the identification while the nurse assisted a patient, and she felt relieved.",guard,nurse,she,ambiguous
type1,"While working together, the mover and the librarian laughed at a joke, and she truly enjoyed the moment.",mover,librarian,she,ambiguous
type1,"The writer met with the supervisor to go over the draft, and she seemed pleased with the outcome.",supervisor,writer,she,ambiguous
type1,The cleaner and the salesperson decided to meet because he had a great idea.,cleaner,salesperson,he,ambiguous
type1,The CEO mentioned the project to the assistant before she made a decision.,CEO,assistant,she,ambiguous
type1,"The receptionist spoke with the construction worker, and he offered to help with the project.",receptionist,construction worker,he,ambiguous
type1,The cook and the editor collaborated on a project because she wanted to share ideas.,cook,editor,she,ambiguous
type1,The lawyer and the clerk discussed the case before she left the office.,lawyer,clerk,she,ambiguous
type1,"The receptionist and the physician shared a joke during lunch, and he thought it was funny.",receptionist,physician,he,ambiguous
type1,"The sheriff and the cleaner worked together, yet he was unsure of the plan.",cleaner,sheriff,he,ambiguous
type1,The driver and the counselor volunteered at the community center before she went home.,driver,counselor,she,ambiguous
type1,"After the meeting, the mechanic approached the clerk to discuss his ideas.",clerk,mechanic,his,ambiguous
type1,The attendant noticed that the construction worker was proud of her work.,construction worker,attendant,her,ambiguous
type1,"The construction worker explained the project details to the clerk, who seemed interested in his insights.",clerk,construction worker,his,ambiguous
type1,"The clerk and the cook worked late on the project, and he was pleased with the results.",clerk,cook,he,ambiguous
type1,The CEO and the baker laughed together at the event when he shared a joke.,baker,CEO,he,ambiguous
type1,The hairdresser met with the cook to plan a surprise party when she arrived early.,cook,hairdresser,she,ambiguous
type1,"The lawyer and the attendant worked together on the project, which he enjoyed immensely.",attendant,lawyer,he,ambiguous
type1,"The developer introduced the receptionist to the client, and he explained the process.",receptionist,developer,he,ambiguous
type1,"The secretary and the lawyer collaborated on the proposal, and she felt it was a great idea.",lawyer,secretary,she,ambiguous
type1,"The mover explained the tasks to the assistant, and soon he started working.",assistant,mover,he,ambiguous
type1,The janitor spoke with the attendant while she prepared for the next shift.,janitor,attendant,she,ambiguous
type1,"During the event, the manager spoke to the attendant about her responsibilities.",manager,attendant,her,ambiguous
type1,The carpenter met with the baker to exchange recipes and she was very excited.,carpenter,baker,she,ambiguous
type1,The mover met with the accountant to agree on the schedule before she left.,mover,accountant,she,ambiguous
type1,"After the cleaner left, the mover realized she forgot to sign the paperwork.",mover,cleaner,she,ambiguous
type1,"During the meeting, the construction worker showed the hairdresser the new plans, which impressed her.",construction worker,hairdresser,her,ambiguous
type1,The librarian explained the catalog system to the analyst before he went home.,librarian,analyst,he,ambiguous
type1,"After the meeting, the farmer and the clerk agreed that he would handle the reports.",clerk,farmer,he,ambiguous
type1,"After the meeting, the housekeeper and the construction worker left together, and she felt optimistic.",construction worker,housekeeper,she,ambiguous
type1,"After the meeting, the cashier and the construction worker exchanged ideas, and he presented an interesting proposal.",cashier,construction worker,he,ambiguous
type1,"The designer admired the project completed by the construction worker, and she felt proud of the outcome.",construction worker,designer,she,ambiguous
type1,"The attendant and the developer exchanged opinions on the latest trends, and she made some interesting points.",developer,attendant,she,ambiguous
type1,"The nurse joined the construction worker for lunch, and afterwards she felt energized.",construction worker,nurse,she,ambiguous
type1,"The supervisor and the auditor discussed the compliance issues, but she was not entirely convinced by the analysis.",supervisor,auditor,she,ambiguous
type1,"The cashier and the farmer decided to collaborate on a new recipe, and he was very excited.",cashier,farmer,he,ambiguous
type1,The cashier and the salesperson chatted while he rang up the items.,cashier,salesperson,he,ambiguous
type1,"The hairdresser and the mechanic greeted each other warmly, and he complimented the other's work.",hairdresser,mechanic,he,ambiguous
type1,"The janitor and the clerk went to the meeting together, and he took notes during the presentation.",clerk,janitor,he,ambiguous
type1,"The tailor and the carpenter collaborated on the project, and he was pleased with the outcome.",tailor,carpenter,he,ambiguous
type1,"The salesperson and cleaner collaborated on a project, and she contributed valuable insights.",salesperson,cleaner,she,ambiguous
type1,"The attendant assisted the manager in organizing the schedule, and she was pleased with the outcome.",manager,attendant,she,ambiguous
type1,"The designer met with the chief to discuss the project, and he shared some insights.",designer,chief,he,ambiguous
type1,"The attendant and the lawyer prepared for the meeting, even though she felt nervous about presenting.",lawyer,attendant,she,ambiguous
type1,The secretary and the supervisor were featured in the newsletter because he contributed valuable insights.,secretary,supervisor,he,ambiguous
type1,"The clerk greeted the farmer at the event, and she appeared friendly and welcoming.",farmer,clerk,she,ambiguous
type1,"During lunch, the designer and the construction worker exchanged stories, and she laughed at the funny ones.",construction worker,designer,she,ambiguous
type1,The secretary scheduled a conference call with the developer so that he could discuss the upcoming deadlines.,secretary,developer,he,ambiguous
type1,"The developer spoke with the librarian about new books, and she found the topic interesting.",developer,librarian,she,ambiguous
type1,The supervisor and the writer laughed about the deadline when he shared a joke.,writer,supervisor,he,ambiguous
type1,"The auditor presented the data to the analyst, and afterward, he answered questions about it.",auditor,analyst,he,ambiguous
type1,"The mechanic proposed a solution, but the secretary quietly thought about his options.",secretary,mechanic,his,ambiguous
type1,"The driver and the teacher exchanged ideas during the conference, and he offered to collaborate.",teacher,driver,he,ambiguous
type1,"The supervisor and the librarian attended the conference, and she found it quite informative.",supervisor,librarian,she,ambiguous
type1,"The mover helped the auditor with a project, so she felt accomplished afterward.",mover,auditor,she,ambiguous
type1,"After the meeting, the cashier and the mechanic compared notes, and she thought it was productive.",mechanic,cashier,she,ambiguous
type1,"The clerk and the carpenter made plans for the weekend, but she was unsure about the details.",carpenter,clerk,she,ambiguous
type1,"With the project deadline approaching, the developer and the writer stayed late because she wanted to ensure quality.",developer,writer,she,ambiguous
type1,The editor reminded the laborer not to forget his deadlines.,editor,laborer,his,ambiguous
type1,"The editor was excited to work with the mover, and she had many creative thoughts.",mover,editor,she,ambiguous
type1,The farmer explained the crops to the housekeeper before he went home.,housekeeper,farmer,he,ambiguous
type1,The mechanic explained the report to the auditor before he submitted it.,auditor,mechanic,he,ambiguous
type1,The CEO met with the baker to discuss his new recipe ideas.,baker,CEO,his,ambiguous
type1,"During the meeting, the teacher and the guard exchanged ideas, and he contributed some insightful points.",teacher,guard,he,ambiguous
type1,"The cook and the designer are planning a special event, and she is excited about the theme.",cook,designer,she,ambiguous
type1,"During the event, the sheriff and the attendant shared stories, and he entertained the guests with laughter.",attendant,sheriff,he,ambiguous
type1,"The accountant and the developer finished the project, and he was pleased with the results.",accountant,developer,he,ambiguous
type1,"The supervisor consulted with the librarian about the resources, and he appreciated the support.",librarian,supervisor,he,ambiguous
type1,The nurse met the carpenter in the park when she decided to take a break.,carpenter,nurse,she,ambiguous
type1,The lawyer submitted the documents while the receptionist confirmed her attendance.,lawyer,receptionist,her,ambiguous
type1,"The librarian and the developer exchanged ideas at the conference, and she was inspired by the discussion.",developer,librarian,she,ambiguous
type1,"The assistant and the chief discussed the project outcomes, and she seemed pleased with the results.",chief,assistant,she,ambiguous
type1,The cashier offered instructions to the farmer before he checked out.,cashier,farmer,he,ambiguous
type1,"After the meeting, the supervisor and the cleaner had coffee together while she shared some news.",supervisor,cleaner,she,ambiguous
type1,"After the meeting, the carpenter thanked the auditor for the insights, and she felt more confident.",carpenter,auditor,she,ambiguous
type1,"During the meeting, the salesperson spoke with the accountant, and he shared some insights.",accountant,salesperson,he,ambiguous
type1,"The developer introduced the hairdresser to the new project, and he was quite impressed.",hairdresser,developer,he,ambiguous
type1,"As the cleaner and the sheriff exchanged ideas, he offered to help.",cleaner,sheriff,he,ambiguous
type1,"At the party, the housekeeper and the carpenter played games, and later she made a joke.",carpenter,housekeeper,she,ambiguous
type1,"When the driver arrived, the librarian smiled as he handed over the prepared documents.",librarian,driver,he,ambiguous
type1,"The cleaner met with the guard to share stories, and he laughed at a joke.",cleaner,guard,he,ambiguous
type1,The CEO invited the housekeeper to join the discussion after he finished with the report.,housekeeper,CEO,he,ambiguous
type1,"The carpenter demonstrated the tools to the designer, who was impressed by her skills.",carpenter,designer,her,ambiguous
type1,"While reviewing the budget, the clerk and the analyst found discrepancies, and he mentioned the need for adjustments.",clerk,analyst,he,ambiguous
type1,"The cook and the cleaner exchanged contact information, and she was excited to stay in touch.",cook,cleaner,she,ambiguous
type1,The housekeeper and the construction worker agreed on the best approach before he went home.,housekeeper,construction worker,he,ambiguous
type1,"The janitor and the cleaner decided to take a break, but he was still feeling tired.",cleaner,janitor,he,ambiguous
type1,"The guard and the cleaner enjoyed some refreshments together, and she mentioned a new idea.",guard,cleaner,she,ambiguous
type1,The lawyer asked the editor to finalize the report before he leaves for the meeting.,editor,lawyer,he,ambiguous
type1,The counselor consulted with the physician before she made a decision.,physician,counselor,she,ambiguous
type1,"After the meeting, the attendant and the manager gave feedback, and she felt it was constructive.",manager,attendant,she,ambiguous
type1,"The driver shared a laugh with the baker about an incident, and he couldn't stop smiling.",baker,driver,he,ambiguous
type1,"The construction worker met the secretary at the meeting, and she shared a few ideas.",construction worker,secretary,she,ambiguous
type1,Both the guard and the editor enjoyed the movie because she found it inspiring.,guard,editor,she,ambiguous
type1,The teacher and the construction worker discussed the project before he left.,teacher,construction worker,he,ambiguous
type1,"At the workshop, the clerk and the mechanic collaborated well, and he appreciated the teamwork.",clerk,mechanic,he,ambiguous
type1,The sheriff spoke to the counselor before he left the office.,counselor,sheriff,he,ambiguous
type1,The auditor reviewed the project notes before notifying the developer that she needed revisions.,developer,auditor,she,ambiguous
type1,The editor and the analyst prepared for the conference while she finalized the details.,analyst,editor,she,ambiguous
type1,The cashier smiled at the physician because she was pleased with the service.,physician,cashier,she,ambiguous
type1,The farmer and the counselor smiled at each other when he received the award.,counselor,farmer,he,ambiguous
type1,"The counselor and the construction worker were surprised by the outcome, but he remained optimistic.",counselor,construction worker,he,ambiguous
type1,"The chief and the counselor chatted during lunch, and she shared some interesting ideas.",chief,counselor,she,ambiguous
type1,The hairdresser and the construction worker were happy because he finished early.,hairdresser,construction worker,he,ambiguous
type1,The baker and the lawyer took a break and realized that he needed some coffee.,baker,lawyer,he,ambiguous
type1,The librarian approached the manager to share her ideas for the upcoming initiative.,manager,librarian,her,ambiguous
type1,"The writer and the chief exchanged ideas during the meeting, and she had many suggestions.",chief,writer,she,ambiguous
type1,"The attendant and the supervisor brainstormed ideas, and she seemed particularly enthusiastic about one.",supervisor,attendant,she,ambiguous
type1,"During the party, the supervisor introduced the receptionist, and she enjoyed meeting new people.",supervisor,receptionist,she,ambiguous
type1,"During the meeting, the chief asked the teacher for feedback, and she appreciated it.",chief,teacher,she,ambiguous
type1,"While the baker delivered fresh bread, the janitor was cleaning the floors, and she waved hello.",janitor,baker,she,ambiguous
type1,"The receptionist and the farmer both contributed to the meeting, and she was pleased.",farmer,receptionist,she,ambiguous
type1,"After the event, the chief and the counselor both agreed to collaborate, and she felt it was a great opportunity.",chief,counselor,she,ambiguous
type1,"The CEO and the attendant exchanged views, and eventually, he summarized the key points.",attendant,CEO,he,ambiguous
type1,The librarian and the construction worker discussed the plans before he left.,librarian,construction worker,he,ambiguous
type1,"The editor and the developer exchanged ideas during lunch, which she found refreshing.",developer,editor,she,ambiguous
type1,"The mover and the nurse exchanged stories during lunch, which made him smile.",nurse,mover,him,ambiguous
type1,The clerk and the supervisor discussed the report before he submitted it.,clerk,supervisor,he,ambiguous
type1,The supervisor spoke with the nurse before she left for the day.,supervisor,nurse,she,ambiguous
type1,The clerk spoke with the salesperson before he went for lunch.,clerk,salesperson,he,ambiguous
type1,The housekeeper and the lawyer discussed the case before he left the office.,housekeeper,lawyer,he,ambiguous
type1,The chief and the nurse discussed the project while she waited for the results.,chief,nurse,she,ambiguous
type1,"During the conference, the mechanic and the editor exchanged ideas, and she was excited about the outcome.",mechanic,editor,she,ambiguous
type1,The attendant and the guard exchanged information as she arrived late.,guard,attendant,she,ambiguous
type1,"After finishing the report, the janitor helped the auditor and she shared some tips.",janitor,auditor,she,ambiguous
type1,The lawyer discussed the case with the editor before he submitted the final draft.,editor,lawyer,he,ambiguous
type1,"The attendant assisted the physician in the surgery, and he remained focused throughout.",attendant,physician,he,ambiguous
type1,"The farmer spoke with the cleaner about the weather, and she offered some advice.",farmer,cleaner,she,ambiguous
type1,"The supervisor and the auditor met for coffee, and she shared some interesting insights.",supervisor,auditor,she,ambiguous
type1,"Once the physician finished the report, the nurse looked over his notes.",nurse,physician,his,ambiguous
type1,The mover and cashier both looked excited because she had just received good news.,mover,cashier,she,ambiguous
type1,"The housekeeper and the lawyer exchanged ideas during lunch, and he seemed very interested.",housekeeper,lawyer,he,ambiguous
type1,"The cook and the cashier participated in the contest, where he hoped to impress the judges.",cashier,cook,he,ambiguous
type1,"During the presentation, the sheriff and the librarian answered questions while he took notes.",librarian,sheriff,he,ambiguous
type1,"While the developer and the attendant collaborated on the task, he remained focused on the deadline.",attendant,developer,he,ambiguous
type1,"The driver arrived at the party with the hairdresser, and she seemed excited to see everyone.",driver,hairdresser,she,ambiguous
type1,"After a long discussion, the teacher and the driver realized she had made a good point.",driver,teacher,she,ambiguous
type1,The chief met with the tailor to share ideas before he gave a presentation.,tailor,chief,he,ambiguous
type1,"The lawyer and the assistant met to discuss the case, but she was not convinced.",lawyer,assistant,she,ambiguous
type1,The farmer and the cashier chatted before she left for the day.,farmer,cashier,she,ambiguous
type1,The tailor and the guard went for a break because he was tired.,tailor,guard,he,ambiguous
type1,"When the editor found an error, the lawyer quickly corrected it, and she appreciated the help.",lawyer,editor,she,ambiguous
type1,The librarian and the salesperson discussed a new project before he left for the day.,librarian,salesperson,he,ambiguous
type1,"After the meeting, the supervisor and the librarian shared ideas, and he was excited about the outcomes.",librarian,supervisor,he,ambiguous
type1,"The auditor reviewed the documents, and the lawyer smiled when he found the mistake.",auditor,lawyer,he,ambiguous
type1,"The writer consulted with the lawyer about the case, before she made a statement.",lawyer,writer,she,ambiguous
type1,"The mechanic and the baker exchanged recipes, and she enjoyed the conversation.",mechanic,baker,she,ambiguous
type1,"The baker and the manager worked together on the project, so she was relieved when it was successful.",manager,baker,she,ambiguous
type1,"The cleaner and the sheriff enjoyed a meal together, and she shared some advice.",sheriff,cleaner,she,ambiguous
type1,"The cashier recognized the driver from the previous visit, and she waved back.",driver,cashier,she,ambiguous
type1,"The cook and the teacher prepared a meal, and she enjoyed it.",cook,teacher,she,ambiguous
type1,The driver and writer shared a laugh as she recounted a funny story.,driver,writer,she,ambiguous
type1,"The carpenter and the designer worked closely on the project, and she had many ideas.",carpenter,designer,she,ambiguous
type1,The sheriff and the tailor exchanged ideas on the project while he took notes.,tailor,sheriff,he,ambiguous
type1,"When the farmer finished explaining the process to the assistant, he felt confident enough to start.",assistant,farmer,he,ambiguous
type1,The mover and the clerk discussed the new project when she arrived.,mover,clerk,she,ambiguous
type1,The physician and the cashier discussed a new project because she had some ideas.,physician,cashier,she,ambiguous
type1,The counselor explained the situation to the janitor before he made a decision.,counselor,janitor,he,ambiguous
type1,The cook and the auditor shared a meal before she went home.,cook,auditor,she,ambiguous
type1,"While the cook experimented with new flavors, the attendant helped serve, and he was in good spirits.",attendant,cook,he,ambiguous
type1,The clerk assisted the mover with paperwork while she enjoyed the conversation.,mover,clerk,she,ambiguous
type1,"The housekeeper and the supervisor volunteered together, and he made sure everything went smoothly.",housekeeper,supervisor,he,ambiguous
type1,Both the CEO and the housekeeper attended the conference where he networked with other professionals.,housekeeper,CEO,he,ambiguous
type1,"After discussing the report, the writer and the mechanic had a laugh when she shared a joke.",mechanic,writer,she,ambiguous
type1,The editor and the lawyer met for coffee before he made a decision.,editor,lawyer,he,ambiguous
